Pathway,Score_Androgen,Score_EGFR,Score_Estrogen,Score_Hypoxia,Score_JAK-STAT,Score_MAPK,Score_NFkB,Score_p53,Score_PI3K,Score_TGFb,Score_TNFa,Score_Trail,Score_VEGF,Score_WNT
beta-Alanine Metabolism,-0.08724305552516107,-0.3655513409619219,-0.10370112733390771,-0.00917362145177005,-0.10665767043467451,-0.785126127821644,-0.2317220840301042,-2.071391517897216,-0.2797445596726967,-0.0017150592375766215,-0.41342303094627025,-0.1373821076919421,-0.5475077613132157,-1.2678183736269701
Betaine Metabolism,-0.06415696223944606,-0.7654032879355389,-0.9154229598359915,-0.09915289956756415,-0.8881284735592301,-1.0608839478808154,-0.5571588017363912,-1.876545930981969,-0.2616991819693375,-0.19389457363745335,-0.4107750073546926,-0.6918615549078182,-0.6291379777201264,-0.8242937218000979
Bile Acid Biosynthesis,-0.782570288942828,-1.7590232044376255,-0.8324400472878646,-0.345209666199057,-0.3176391503422346,-1.5744341491083866,-0.9727626615301436,-1.5426224377219022,-0.41809399650524526,-0.20736894608436604,-0.7385055834854866,-0.7686427434672173,-0.6682951423143678,-0.6639763336634594
Biotin Metabolism,-0.269222546066366,-1.037081660800592,-0.3204752248588509,-0.10768553463455334,-0.3728386696383304,-1.6564608550163062,-0.48994120716366957,-0.4047170837723932,-0.4041765803028748,-0.25945569931496654,-0.43108994267333706,-0.3778942361809471,-1.811001755416994,-0.22526613422521427
Butyrate Metabolism,-0.0352528411447202,-0.7190820299244159,-1.402990676625107,-0.02825286647116037,-0.13886179461171175,-1.3118401588517898,-0.5302956451012956,-3.8381251104520517,-0.29449642364077816,-0.008671458582204479,-0.5820886603347785,-0.16362159451993086,-0.15685335210299534,-1.0622503285876905
Caffeine Metabolism,-0.021411117315498,-0.14679124592265683,-0.4819210601517299,-0.0399268148395684,-0.06461933435581389,-0.37149700394442653,-0.4007347117320989,-2.303915408322485,-0.13069904677166527,-0.005227772529895416,-0.6003035806298814,-0.20047039351780563,-0.08166046181182986,-0.7074204086356842
Cardiolipin Biosynthesis,-0.18180487383424196,-0.5909167479324534,-0.09564649896700293,-0.1553561623071312,-0.08079695859455616,-1.3357104052979898,-0.3286345847732549,-1.3062266953991524,-0.17250919392894545,-0.035689831924547805,-0.5181319321558061,-0.22918821281077909,-0.10210452093648928,-1.3070414821773544
Carnitine Synthesis,-0.21399825178182263,-0.20211147922191422,-0.6981540987226015,-0.21019609130893105,-0.06785556949054883,-0.2786540457728334,-0.33655311871271965,-1.8198345480181959,-0.476675157366498,-0.14533803403322706,-0.45350910466135547,-0.6234762557512863,-1.6251851175054304,-0.31442339582572765
Catecholamine Biosynthesis,-0.33980068280331993,-1.0428620418880925,-0.8675578333657216,-0.8579722115799946,-0.7867351571968632,-1.0298569000149647,-0.3098469160513922,-1.0291069812331353,-0.27799490099695334,-1.1397681148559773,-0.32344718126913047,-0.5657785901838274,-0.49792472865775217,-0.6009973472960416
Citric Acid Cycle,-0.050809377117970414,-2.378656850981943,-0.304330576085411,-0.047842764455901785,-0.08456980456215309,-2.63466253452607,-0.2884803702708118,-4.626636155281083,-0.4587669712055329,-0.01350770502711064,-0.3286516778072578,-0.10547817092515592,-0.2124084112610974,-1.9418875476921764
Cysteine Metabolism,-0.536116820880011,-1.5339276892290967,-0.3721982255319597,-0.8041792697631135,-0.48892682371211615,-2.4966174860311026,-1.4560687901553946,-1.0061945864317585,-0.2856781698052359,-0.8977905817396541,-1.207114971517282,-0.23510836139261077,-0.26984984810060675,-0.6869538846871998
D-Arginine and D-Ornithine Metabolism,-0.27471517919086286,-0.18043424006587766,-0.7208801242879438,-0.15844892745850098,-0.046051013922145924,-0.22321130608898698,-0.11724488828092726,-1.303196057420148,-0.03264661036702114,-0.07076469935946973,-0.1395047318200639,-0.05007352939062923,-0.10698915739938333,-0.2518291214989738
De Novo Triacylglycerol Biosynthesis,-0.010854411964987987,-0.0902500503945801,-0.06157300855592211,-0.14958772653859237,-0.04845083666201449,-0.2843229057918446,-0.5003040622747165,-1.2863626350813104,-0.10344588784084958,-0.011897060676782928,-0.7103238797186973,-0.25291124818658667,-0.061227993282742026,-0.45760145428629045
Estrone Metabolism,-0.03331943229645126,-0.3282213671800402,-0.9625459817659895,-0.5751891446357414,-0.5693726984828381,-0.9084332447026751,-0.6069567691767821,-1.9716447169847924,-0.11870226398463872,-0.4535728526979925,-0.5518901482371179,-1.7180626933399257,-1.1973389396686287,-0.7442676124074376
Ethanol Degradation,-0.02662671630717915,-1.2760438201630062,-0.17791951601315267,-0.16683503868326854,-0.4582812511663623,-1.4188266433317238,-0.6970192898511743,-2.0900871447291043,-0.10271467657735456,-0.057936276626887245,-0.7539664832210891,-0.5908483277913259,-0.14302746363002397,-0.4804342987828223
Fatty Acid Biosynthesis,-2.0089478175028916,-1.6203350107773395,-1.1296709657058948,-2.8030646497518417,-2.2843794553219494,-0.9659594334191237,-0.5083471479998817,-0.26008751195368257,-1.5097854545224678,-2.441622314337764,-0.5541533986543692,-1.0398082465866754,-0.7602641414607835,-1.4268555751908711
Fatty Acid Elongation in Mitochondria,-0.02535515225584322,-0.14832528456458346,-0.4822435442515318,-0.026925400453984942,-0.11317962796421126,-0.2709542847036593,-0.4176388295071338,-2.5875698433071883,-0.10271467657735456,-0.006740723626067735,-0.40094101188360437,-0.6184846202061504,-0.14302746363002397,-0.4804342987828223
Fatty Acid Metabolism,-0.03261764465890904,-0.7190820299244159,-0.36985216224732304,-0.02825286647116037,-0.1455989274578787,-1.3118401588517898,-0.651514635837386,-3.025950556658607,-0.29449642364077816,-0.008671458582204479,-0.5820886603347785,-0.4517214963426592,-0.1839969269090212,-0.618072595278983
Folate Metabolism,-0.3934203267486383,-0.5406769612059713,-0.34034742266613616,-1.1288302135026325,-0.5195703245428684,-1.0108101631878086,-2.203164658035928,-1.4090160707438488,-1.1712340717516099,-1.1624931963357823,-2.189362831628678,-0.4852403003258757,-0.5630503040037823,-1.574792745887985
Fructose and Mannose Degradation,-0.1647921619665856,-1.096906386850228,-0.47903895219725146,-0.7561202470853708,-0.6847940729734419,-2.7120491286278154,-0.7484247927890078,-4.365418469623226,-0.08015777549129878,-0.11518209379582993,-0.7803414704111141,-0.4024934850087646,-0.5630503040037823,-0.7095564105873242
Galactose Metabolism,-0.4041973632217206,-1.1015661768481793,-0.34964273834624704,-1.5280729228939107,-0.7145068730962956,-3.5291597840772004,-0.7814735036304961,-2.0812410939453736,-0.37361596443578243,-0.6486290614929309,-0.9287767516126947,-0.4024934850087646,-0.6357754067627973,-2.19559199174205
Gluconeogenesis,-0.16323710640412828,-1.0788727732792671,-0.06553453130053877,-1.1017090268633187,-0.2604218975696244,-2.8210476495709975,-1.4554576825625436,-4.819268934944403,-0.548764164706896,-0.33875608063031015,-1.4079789874165058,-0.2989963706267575,-0.3003825761625149,-0.1957604384337442
Glucose-Alanine Cycle,-0.21399825178182263,-0.7529959619623974,-0.0546845507075128,-1.0226351593821874,-0.3187522745326079,-1.656234937380878,-0.6557420722552307,-0.4535971489652853,-0.8678650365550168,-0.43202824966723447,-0.4763978401608359,-0.1930528083564123,-0.34991037272769154,-0.27097588737645645
Glutamate Metabolism,-0.09101091312473412,-0.3503077828323543,-0.5757955394704175,-0.03025228308993502,-0.021669523115863735,-1.3127246690971528,-0.08547479094948289,-5.654642910377899,-0.3687126102850305,-0.024195079157322927,-0.1093050036280467,-0.17050889429909177,-0.29260669100078607,-1.6094208908162702
Glutathione Metabolism,-0.06091015986577693,-0.5510915036012991,-1.9510204792419088,-0.6247003494884031,-0.28662480859060097,-0.9791671780097851,-0.46240560574336287,-4.171583051760476,-0.2058358778503714,-0.6885839583942652,-0.528986972914906,-0.19455447980435175,-0.20932620820215694,-1.9220684735150533
Glycerol Phosphate Shuttle,-0.06904893293685048,-0.1868467450805864,-0.3454696725874681,-0.9522830197110456,-0.27670977686938514,-0.40830074816559453,-1.2368764934435728,-1.8322242163262064,-0.19616139160038237,-0.2703014864842017,-1.1828749906425902,-0.37614028167419933,-0.5755174449038694,-0.4540146975603013
Glycerolipid Metabolism,-0.03261764465890904,-0.7190820299244159,-1.2345758394439785,-0.34930623068037747,-0.1455989274578787,-1.0108101631878086,-0.651514635837386,-1.8488325172947428,-0.13213625424916148,-0.08921943409322936,-0.7458767902044295,-0.425074189035699,-0.3544949826786192,-0.7283654562985067
Glycine and Serine Metabolism,-0.14355735109955464,-1.1074107960292676,-1.0621422062536283,-0.8405321644697573,-0.4134800803191568,-1.6236617053511158,-0.5586369472484766,-1.677640925390304,-1.0208632752644757,-0.07402020479148873,-0.7153741718057988,-1.2961830890100474,-0.9013026149922287,-1.0188305020756854
Glycolysis,-0.13601002289753888,-0.7190820299244159,-0.04287254146281461,-1.3987648436589846,-0.7417584326782575,-2.234760824271137,-1.9326533856430785,-3.2373795696214054,-0.6486290614929309,-0.32992594835947153,-2.126613649310516,-0.4082109137872604,-0.5253330996088187,-0.15834215939518273
Histidine Metabolism,-0.0697869908934214,-0.4854529503984895,-0.18568838392596523,-0.012308523407175868,-0.9465539235221694,-1.0442451704957902,-0.8745455057727897,-3.262910342370115,-0.2501559240548781,-0.4130873366738008,-0.7116730649958505,-0.411906487716148,-0.5283976208775127,-0.707409235029757
Homocysteine Degradation,-0.8019325294893248,-0.6469881831784094,-0.46005425059090965,-1.6080714778413356,-0.4523608035292636,-0.45524190240901274,-0.2699266679025973,-0.24304837038768368,-0.628753728694129,-0.5838228434765055,-0.3348824710338198,-0.08579172524914336,-0.2121711535174988,-0.6967779027535103
Inositol Metabolism,-0.0884207072194159,-1.1008670782037515,-0.08670453811961047,-0.1536462021888099,-0.7850327552614299,-2.000514030470561,-0.39744566198847997,-0.5046529554063324,-0.21890504788236662,-0.102070210481138,-0.42942041761186245,-0.3443345774023185,-0.9020558050334233,-0.5514781096127319
Inositol Phosphate Metabolism,-0.19640540152311814,-1.037081660800592,-0.04332767576412676,-0.5098729505231064,-1.1468265122869281,-1.6564608550163062,-0.5965101570517405,-0.5403261445693425,-0.14383607284863273,-0.25945569931496654,-0.7072075072545744,-0.3778942361809471,-1.1963565650642611,-0.39210919028222824
Ketone Body Metabolism,-0.014476572092102844,-0.12036789116340899,-0.36150278253298607,-0.012539378020456257,-0.06461933435581389,-0.3572723272186415,-0.4007347117320989,-2.303915408322485,-0.1886454924445165,-0.0038486387248762494,-0.6003035806298814,-0.3373180256417241,-0.08166046181182986,-0.7108586681535256
Lactose Degradation,-0.11835408509983589,-1.5731956331196102,-0.009401921607076922,-0.5951790167969232,-0.3618744181359662,-4.093503075934611,-0.49678223137282584,-0.8752540342814993,-0.3130846965866177,-0.2158190347103955,-0.5279722604051895,-0.13583205629539805,-0.1747997095123516,-0.12920676173607676
Lactose Synthesis,-0.39307715145938044,-1.2262271301413077,-0.0677577979908623,-0.3762868131431897,-0.13304675591891735,-4.062501575680819,-0.2278040126163649,-2.448582101719147,-0.037260317821867395,-0.5041849393326993,-0.25160889137675696,-0.2198595398682931,-0.13070166732464952,-1.3358566971047334
Lysine Degradation,-0.10594745634266255,-0.46164128002498567,-0.4086832278001167,-0.16628004323137258,-0.22680797820543913,-1.003239819939895,-0.39029423315693557,-3.584873371115949,-0.2058358778503714,-0.020676689239665237,-0.216400345044143,-0.18493586812620183,-1.2926350764197079,-0.5719920981461069
Malate-Aspartate Shuttle,-0.5319741168571287,-0.5770250560957182,-0.09662823094978744,-0.6557590236638072,-0.325322595226874,-1.2065781646869806,-0.9963556107732487,-0.592230411672924,-0.26027199828117015,-0.5759750767894382,-0.7899411153792144,-0.24743454032073092,-0.47944920465525254,-0.6558631339179375
Methionine Metabolism,-0.31889846315832054,-0.5814256661423112,-0.717957515775751,-1.0203800824352667,-0.41621979712283186,-0.9965024249191744,-0.25227024784505797,-1.3435635150452063,-0.314548009290635,-0.4864032360205077,-0.7047666715652855,-0.13621530723751507,-0.8524714330348663,-0.8916435197551558
Methylhistidine Metabolism,-0.03950651963573931,-0.1520043479511636,-0.29921085739544295,-0.010854411964987987,-0.19560465898600937,-0.2654880279603159,-0.1430502674167363,-0.9408677095656637,-0.3230143224357545,-0.07260696290760435,-0.10422629143093506,-0.24158554006252378,-0.5458458641993027,-0.4663541955475789
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,-0.08518413910852189,-0.8185465962718492,-0.2978235711880696,-0.06203384780875405,-0.1619784664921059,-1.4188266433317238,-0.6970192898511743,-2.0900871447291043,-0.2289208452199747,-0.061706544580457344,-0.7539664832210891,-0.35113239756999354,-0.4585736656915178,-0.4804342987828223
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,-0.412738677547413,-0.7654032879355389,-0.6090081304628087,-1.3619139435447967,-0.253874512596036,-1.3619139435447967,-0.6059693558334884,-2.5546699750300266,-0.2616991819693375,-0.9765395121259216,-0.6603041110634592,-0.40141214747116966,-0.1945822254487919,-0.6032683831077384
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,-0.13247341378514632,-1.2357534166047641,-0.516908345343805,-1.0880940587983754,-0.1455989274578787,-1.3118401588517898,-0.5302956451012956,-3.025950556658607,-0.29449642364077816,-0.28046592059923375,-0.5820886603347785,-0.4517214963426592,-0.1839969269090212,-0.7708762730977633
Mitochondrial Electron Transport Chain,-0.11673602721910771,-1.39377176189391,-0.25878827797850046,-1.27056108169348,-0.3691622608419717,-1.8539267234667864,-1.4005507000582507,-2.273752468366908,-0.2616991819693375,-0.3606126096285178,-1.5060890617478275,-0.294220734394096,-0.7678329179413572,-0.7451503757937322
Nicotinate and Nicotinamide Metabolism,-0.2046668281252403,-0.6954605189983655,-0.3264656903297699,-0.16498981113583672,-0.3175832688460837,-1.200629933570352,-0.36395714635287596,-2.1602188140942244,-0.1910792663595189,-0.08085771968747708,-0.36646171962111174,-0.9581233125661401,-0.9604276833537752,-0.46704404108475384
Nucleotide Sugars Metabolism,-0.20869868164555705,-0.788554832452155,-0.9249642420369466,-1.1531585838825025,-0.8678650365550168,-1.5838100537125386,-1.0089393599352272,-2.804949475003422,-0.101479010173387,-0.3864598655209872,-1.6865825317620262,-0.6927411420031014,-0.5755174449038694,-1.2770181391151854
Oxidation of Branched-Chain Fatty Acids,-1.6377940311446464,-0.8185465962718492,-0.3658945042329465,-0.05062966692686811,-0.13409906210121084,-1.1177966476677426,-0.22942346357436286,-2.0900871447291043,-0.24712488604381502,-0.047559382223771304,-0.25160889137675696,-0.5657785901838274,-0.3060928000160611,-0.5261205757703105
Pantothenate and CoA Biosynthesis,-0.8517564011710745,-0.7204429297740718,-0.18145950722870058,-0.6662939248207419,-0.6989454561935224,-2.149901748172231,-0.3768711093246054,-0.643522937353262,-0.7655778981011574,-0.7972606846164041,-0.9115611930314834,-0.3756738030324932,-0.861668046618679,-0.8685145164532581
Pentose Phosphate Pathway,-0.42239197844084586,-1.7413293556208973,-0.4602129068102066,-0.6324970436601671,-0.13894761764364394,-2.5305571813877736,-0.2873157879321984,-4.4809700586423515,-0.018577893691453393,-0.14245470939226462,-0.4036446527207524,-0.30337632005536275,-2.034286496193695,-0.27741437382634193
Phenylacetate Metabolism,-0.10523862291290607,-0.9549253227957246,-0.11183061524469647,-0.5946330067079035,-0.6854242567644354,-1.56279466093757,-0.33910404682620304,-0.48203330477365347,-0.33754908106520426,-0.2723558581141975,-0.3528847263909729,-0.5355267984958627,-0.6334875327608581,-0.21503448207909004
Phenylalanine and Tyrosine Metabolism,-0.5998861317887378,-2.029880647186385,-1.432238312646982,-0.3084848718550898,-0.9422149172719138,-3.3132078884487743,-1.4591184121940084,-0.9491380273380358,-0.4587669712055329,-0.3496386113728433,-0.8571482128692075,-0.19646802109884592,-1.1622679348898817,-0.7531459279212024
Phosphatidylcholine Biosynthesis,-1.3187222869416615,-1.3748498871728787,-0.250539555809804,-0.5132361954017356,-0.55514904800521,-2.647895185328862,-0.5199036277451611,-0.5451134637197523,-0.3681210374096479,-0.4110474354035634,-0.6935239711987816,-0.27510622619105246,-0.496991797670176,-1.2288206947941838
Phosphatidylethanolamine Biosynthesis,-1.184623111691118,-1.0153564432505968,-0.3987719716077058,-0.4585736656915178,-0.9323628447689495,-2.468862329814877,-0.5272259803210679,-0.6635156083677322,-0.4296024222491912,-0.3721385334191262,-0.5427316500209545,-0.2986838707253676,-0.6462588612724934,-1.1628340030478588
Phosphatidylinositol Phosphate Metabolism,-0.269222546066366,-1.3381116564645732,-0.04332767576412676,-0.10768553463455334,-0.5000526168040808,-1.8785504778970008,-0.6466983421091859,-0.7320927089895779,-0.14383607284863273,-0.0905283042871775,-0.679962018536493,-0.12256115555035094,-0.22732759319538648,-0.5778157341620154
Phospholipid Biosynthesis,-0.05102443635530213,-0.2008312308499903,-0.34800229141088773,-0.3897191713485082,-0.27670977686938514,-0.6117470248990913,-0.2737068253037956,-1.1899492823649973,-0.09997971818303446,-0.14991759496504203,-0.45350910466135547,-0.34937459070417487,-0.2591247608844757,-0.6433693231736252
Phytanic Acid Peroxisomal Oxidation,-0.21399825178182263,-0.8806273954733935,-0.30474338925089184,-0.062240105799505174,-0.16704617658767532,-1.1836636818241462,-0.808845837606157,-2.804949475003422,-0.28313386586360767,-0.06688572924406953,-0.868475151170896,-0.6234762557512863,-0.15334594931376117,-0.41217366877079176
Plasmalogen Synthesis,-0.8948164247707959,-0.7640601122867523,-0.6858606134513152,-0.8016897216180143,-0.6673068963187119,-0.2429298910346949,-0.13762299018897556,-0.7666973818496124,-0.2672706861743405,-0.5167206116073468,-0.11591045915096325,-0.30088221179008273,-0.9344736513044521,-0.9065829370351477
Porphyrin Metabolism,-0.06723609316970301,-0.3160688885512151,-1.2807427011117065,-0.2616991819693375,-0.11145503432342109,-0.26309212261874604,-0.32552626830159503,-3.3360250578545956,-0.19948154388690534,-0.11742131254650921,-0.3571483608459692,-0.5832829398504416,-0.2061246671116722,-0.8538003592776792
Propanoate Metabolism,-0.2701566280506684,-0.6138518113241148,-0.08683700986025673,-1.0417011498033466,-0.22303178411598135,-0.9980881716593105,-0.5977739737832963,-3.2001383649672013,-0.6235134324511387,-0.14010965774877224,-1.1569949814883125,-0.05479202749578085,-0.38954577160208803,-1.3787922373735182
Pterine Biosynthesis,-0.08089880451244229,-0.8666608656760849,-0.470257947272907,-0.7102650711313003,-0.46282608500626665,-1.2793726817059468,-1.6133902942599594,-1.71307392537316,-0.13299258595120786,-0.8096920343270544,-2.1712780887442666,-1.7023378768456383,-0.5451134637197523,-1.3260655568425237
Purine Metabolism,-0.03757597901000957,-0.871415329087654,-0.13618235896916808,-0.049553732513826734,-0.2768523587323645,-2.848279095877194,-0.16612453664839263,-5.005131970689529,-0.4579854930807499,-0.10547817092515592,-0.15093731385353598,-0.7322701456293194,-0.2872799146430516,-0.7445975369788999
Pyrimidine Metabolism,-0.32436881107080523,-0.8917367823011202,-0.2854035915814156,-0.013065373835149394,-0.09834701275428907,-2.4545869389158987,-0.01363318145783462,-3.1934928612247853,-0.14452610659576293,-0.003156886126587839,-0.08726390731179391,-0.03923987698950389,-0.24102617198362586,-1.7417596130579707
Pyruvaldehyde Degradation,-0.2709136481477859,-0.720189353305038,-1.8997530308715356,-0.3572723272186415,-0.18436540712233146,-0.7770042712694701,-0.41122632112339785,-2.3763218359455416,-0.13069904677166527,-0.11009781285278661,-0.34550676294972676,-0.018808945909802924,-0.12655920877166044,-0.612414886620359
Pyruvate Metabolism,-0.07746286457629203,-2.1278564671938556,-0.6396493328930393,-0.300121190810506,-0.13445480843942204,-2.020539752753969,-0.3594641699133328,-5.841231240597675,-0.2945514875232199,-0.04848783424076253,-0.3625725228495698,-0.09219841639844546,-0.2596679679333381,-1.4507309391518868
Retinol Metabolism,-0.03261764465890904,-0.27121666702809627,-0.3723262326194203,-0.32514257818234227,-0.40690097073053993,-0.7411002414455348,-1.0923342936265141,-1.2288206947941838,-0.13213625424916148,-0.15896956969357515,-1.4902214201715274,-0.5129678227059942,-0.1839969269090212,-1.328094384517155
Riboflavin Metabolism,-0.3015105441174123,-1.0469347133467295,-0.4819210601517299,-0.15890401105463217,-0.27358268383967205,-1.6586239053855403,-0.39744566198847997,-1.7674157045930237,-0.08771511328669035,-0.07061477998316726,-0.4266539249957876,-0.20047039351780563,-0.1090741365220691,-0.31759033117287633
Selenoamino Acid Metabolism,-0.556145867524104,-1.249012341544976,-0.3287771075343982,-1.406831787952234,-0.5509787916768474,-1.3619139435447967,-0.4956471828054891,-0.6382653388970767,-0.7376272737916096,-0.7177897666643566,-0.6244868207979999,-0.13738322828493618,-0.3001259173170407,-0.6359537194311963
Spermidine and Spermine Biosynthesis,-0.1551702039300993,-0.8659255537304729,-0.6838793558830703,-0.047117766810547836,-0.7997154683992451,-1.4814513729669805,-0.6930830371473411,-0.47255349665807994,-0.2158190347103955,-0.3786653083352693,-0.3501020766353356,-0.3786653083352693,-2.196876499634294,-0.12920676173607676
Sphingolipid Metabolism,-0.5540864545647255,-0.6524804516142244,-0.5975958243896113,-0.354182798500235,-0.2617005569796532,-1.6521486099879465,-0.4152723628931931,-2.785150657897092,-0.07466651340812787,-0.5319566426756723,-0.2958166387819882,-0.5985891930762023,-0.3613380296341697,-0.4599547330936538
Starch and Sucrose Metabolism,-0.09709137703987929,-0.7475553874669704,-0.9194030235586595,-0.6869538846871998,-0.5566749754262135,-2.4642746427351008,-1.3016295932747994,-3.5026909413053513,-0.053273615359957886,-1.0729215775631147,-1.3578864292410344,-0.5016639276614168,-0.2247283761777429,-1.0345427425503921
Steroid Biosynthesis,-0.06650314418487298,-0.6781384082459727,-0.5507791991227472,-0.03140081906880089,-0.16182233942194438,-0.9661308997845093,-0.26624714268807714,-1.8463569638934585,-0.14685951107023892,-0.019614175005817747,-0.17185188155636946,-0.3247182326064325,-0.512730306927941,-1.4761654548632626
Steroidogenesis,-0.4433682445989419,-0.16417778173638428,-2.1336892189059986,-0.46720684412502006,-0.6892937736966724,-0.669769495373708,-1.449872525692251,-1.5779999613308258,-0.4776030327394441,-0.6313378742442348,-1.501209006143278,-2.1202385039647296,-0.38344052953255015,-1.262709291375352
Sulfate_Sulfite Metabolism,-0.5996039790911873,-1.9969157859633593,-0.6513606185551423,-0.35430556827404636,-0.28259920443985415,-1.274021166261364,-0.7182705100943491,-1.1890273309347,-0.23319832300878737,-0.5806803325315699,-1.455795316760925,-0.5364441946559314,-0.26826636850875524,-0.6698117344569523
Taurine and Hypotaurine Metabolism,-0.4818427960784966,-0.40223895438107093,-1.3469925199809762,-1.0431981944359818,-0.8224344688890273,-0.49147123945685106,-0.2439282969924726,-0.7271413795126116,-0.7609396360478787,-0.5479556604011908,-0.3500093384508691,-0.3758631551635866,-0.6099154532550614,-1.1158144372918044
Thiamine Metabolism,-0.4039648203556269,-1.1669555493944541,-0.3734392273873365,-0.11914347243940071,-0.3618744181359662,-1.7824813686309617,-0.49678223137282584,-0.8043429927899632,-0.5682111460786524,-0.2687573280848026,-0.5279722604051895,-0.5648126266909843,-0.13078535962910334,-0.46121054896455566
Threonine and 2-Oxobutanoate Degradation,-0.7402119887870517,-1.1157061833040434,-0.25878827797850046,-1.406831787952234,-0.15682695750496944,-1.0608839478808154,-1.0327311337103793,-2.070514486722627,-0.2616991819693375,-0.37916775035583483,-1.2504613059441811,-0.13738322828493618,-0.29312441654981714,-0.7562546189866334
Thyroid Hormone Synthesis,-0.1430502674167363,-0.5146535734160526,-2.0479212481792444,-0.05213950985643915,-0.2965200709103689,-0.3690884396870045,-0.09955086623694209,-1.6741963851348154,-0.09799611216831058,-0.21242168255256388,-0.12785844651852965,-0.11993333834153894,-0.8210697059240175,-0.3859116044442179
Transfer of Acetyl Groups into Mitochondria,-0.03261764465890904,-0.9847770718604363,-0.0934563369588999,-0.22831384100051544,-0.1455989274578787,-3.475517476115222,-0.5302956451012956,-2.859976578448845,-0.13213625424916148,-0.015707519403819068,-0.5820886603347785,-0.15656388800343207,-0.1839969269090212,-0.7055562702125691
Trehalose Degradation,-0.13456764399522556,-1.3331592807975867,-0.02165769653087631,-0.27471517919086286,-0.4608642336490221,-1.9564085711954902,-0.6199488373470367,-0.21525697234376975,-0.07189641200423251,-0.12968605102560435,-0.655378575531542,-0.18888167178678714,-0.19448073277515548,-0.19598608777190507
